忍冬,英格丽
伺夜,莱昂图索·贝洛内|Leontuzzo Bellone
焰尾,索娜
琴柳,简·薇洛
风笛,菲奥娜·杨
推进之王,亚历山德莉娜·维娜·维多利亚|Alexandrina Vina Victoria
松桐,森内彻
寻澜,蒂拉
齐尔查克,齐尔查克|チルチャック・ティムズ
渡桥,珀耳
万顷,禾生
青枳,安麦尔·安蒂萝丝
谜图,菲舍尔
野鬃,艾沃娜·克鲁科夫斯卡
苇草,拉芙希妮·都柏林
德克萨斯,切利尼娜·德克萨斯|Cellinia Texas
凛冬,索尼娅
冬时,科谢尼娅·马尔科芙娜·涅留朵娃
清道夫,哈莫琳
讯使,魏斯
翎羽,蕾亚
丰川祥子,丰川祥子|豊川（とがわ）祥子（さきこ）
佩佩,珠娜佩卡佩-萨琪特-哈特谢普苏特
锏,（真名遗失）|锏|Degenbrecher
薇薇安娜,薇薇安娜·冯·霍赫贝格|Viviana Von ---|[1]|薇薇安娜·德罗斯特|Viviana ---|[2]
止颂,莱辛·梅耶尔
重岳,朔[3]|重岳
玛恩纳,玛恩纳·临光|Młynar Nearl
山,安东尼·西蒙
棘刺,伊西多
煌,顾烛煌
陈,陈晖洁
银灰,恩希欧迪斯·希瓦艾什|Enciodes Silverash
祐天寺若麦,祐天寺若麦|祐天寺（ゆうてんじ）にゃむ
聆音,努艾达
莱欧斯,莱欧斯|ライオス・トーデン
医生,古斯塔夫·卡特伯|Gustave Kateb
导火索,舒赫拉特·柯西克巴耶夫|Shuhrat Kessikbayev
烈夏,罗莎琳·塔季扬诺夫娜·拉里娜|Rosalind ??? Larina
苍苔,埃尼斯·维瑟
摩根,凯特·“摩根”·莫瑞根|Kate "Morgan" Morrigan
达格达,伊莎贝尔·“达格达”·孟塔古|Isabelle "Dagda" Montague
龙舌兰,埃内斯托·萨拉斯|Ernesto ---
羽毛笔,拉菲艾拉·席尔瓦
战车,亚历山大·塞纳维耶夫|Alexsandr Senaviev
鞭刃,佐菲娅
燧石,克玛尔
断崖,艾尔斯
星极,阿丝忒希娅·乌比卡|Astesia ---
诗怀雅,碧翠克斯·施怀雅
暴行,夏洛特
幽灵鲨,劳伦缇娜
拉普兰德,拉普兰德·萨卢佐|Lappland Saluzzo
因陀罗,汉娜·“因陀罗”·杰克森|--- "Indra" ---
罗小黑,罗小黑
芳汀,兰道尔·霍夫斯塔特
猎蜂,舒拉·奥洛夫
信仰搅拌机,帕特里奇昂·波佐
余,余[3]
黍,黍[3]
斥罪,拉维妮娅·法尔科内|Lavinia Falcone
号角,丽塔·斯卡曼德罗斯|--- Skamandros
瑕光,玛莉娅·临光|Maria Nearl
森蚺,祖玛玛
年,年[3]
星熊,星熊（ほしぐま）
折桠,别乔克
森西,森西|センシ
深巡,西昆妲
深律,米夏埃尔·沃尔夫冈
洋灰,夏娜·穆伊曼
火哨,阿格妮
车尔尼,威廉·菲赫特·车尔尼|--- --- Czerny
极光,洛拉
灰毫,格蕾纳蒂·卡利斯卡
